,Country,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom,Trust (Government Corruption),Happiness Rank,Analyzed Happiness Score
168,North Macedonia,42.97618112089145,61.2493793889826,53.06554938840562,50.01692825829435,65.77391878155093,4.102222638430574,94,49.57449171922483
112,South Africa,34.6942781536517,55.45288382989572,82.92802904681025,26.568928373094717,62.948339143738885,13.302747749715202,108,47.07855370803522
109,Iran,33.70241654596956,61.45891528516076,46.160963608915715,64.75599569140763,42.76590982239693,20.26162842871104,112,46.97705453781508
91,Morocco,43.51560958877469,45.74947422047029,41.68427457025209,61.72807228098372,59.916527223352254,16.40819237034995,92,46.75592571220473
90,Somaliland region,41.98011493324641,10.808680274758006,65.40535175395817,40.28639502288775,68.23634997922736,81.73190853853407,91,46.686798609282434
129,Georgia,28.58690408624413,50.35812168848829,35.428607526511094,62.4609705431303,56.52999881942837,49.18940144822792,122,46.03592637785206
126,Armenia,30.747850711707976,49.15622479426076,61.34295626701495,65.97402227453333,40.16274592871728,14.168444088569323,117,45.07519172844802
144,Cambodia,26.80110219816522,31.860328203508843,60.21942544684566,47.544445779557,97.26689221342563,13.753418727400973,123,45.05025507183099
142,Gabon,30.08326881241849,61.73279249508473,68.19745717813687,39.2491216886992,48.13861702850137,14.475578958412335,117,44.97049808575232
120,Nepal,38.96992456189785,25.562362649498642,68.71372529925483,53.04168565657081,65.25924538445915,18.141871531274205,101,44.825452829384695
110,Ukraine,27.66231071720544,48.657262013882175,85.36997881536924,59.47121266910392,30.868022207751906,2.855326696873457,124,44.3252024519597
108,Bangladesh,33.44175702787544,31.22390503332506,44.97886951480297,56.23612272658237,75.74610305995839,29.05737792276325,111,43.96844231100411
127,Botswana,11.894065057239585,60.33549826911572,72.1427301143698,32.41734290689493,73.58160330116343,20.527853800519207,142,43.81137246289879
128,Myanmar,26.618705103161044,30.439544523224633,65.77490762364255,40.69236664320335,77.67161299796112,37.70355677318972,126,43.80647719487717
106,Tunisia,33.025867406265405,53.09245063056382,51.03738453760735,65.5835399859502,35.66064099290378,12.447399816913855,113,43.7294585127532
111,Iraq,31.895915852269553,58.23409435296788,58.82007634813306,48.42370729933751,32.81335406009732,19.55257912544692,115,42.86870035459368
162,Namibia,31.02414323804732,50.75348367510747,63.01781787200491,30.18326972744268,65.34530077460514,14.479482766777267,120,42.516496575182636
107,Palestinian Territories,33.42235495773282,37.01489779860657,71.4408481579944,55.37513328168811,35.68489098471469,17.605355708812944,112,42.143701336721655
134,Egypt,25.523679281261092,52.86552852338085,58.29100287684369,51.94282804246583,40.56134699280755,18.476517551518125,127,41.590905608241016
161,Somaliland Region,41.98011493324641,14.657412344790421,52.14583818268429,29.40562320621048,56.63708494440765,75.28334419346079,97,40.206750708063254
153,Rwanda,4.858215502442043,18.98705009643337,45.829853013415104,40.22846568558653,87.76862245156173,97.92599699231343,151,39.91860246026935
80,Pakistan,48.280879795224585,37.631771120511495,42.618689345802174,40.28048969189453,39.599235653593844,23.04345293917879,81,39.16053741933793
124,Kenya,29.167082206728978,28.93920820997658,61.60070191297019,39.00145331933244,67.28273718741436,12.452975229318355,121,38.33716367606226
116,India,20.901995943745373,41.98931218616019,38.30442269072532,45.298116451432755,73.7975943410558,18.798143557170675,130,38.07625354246832
141,Senegal,31.255586712291677,26.122670567627758,65.72935533522522,41.11831467279928,51.04476373397164,19.07185091923507,114,37.527031782207835
113,Ghana,33.95660661634459,35.251469873439156,52.75232808546527,32.55874369377066,65.33956578663971,7.954569665757269,109,37.360692756302186
138,Congo (Brazzaville),32.35707979203017,39.041407996018826,46.47232548422683,32.021001758951314,59.82753358768805,20.347940399111753,111,37.11024148017646
125,Djibouti,26.405261817342147,25.248164116104483,40.697564541960254,32.622854668587046,67.44563250235022,57.40473041096506,126,36.744445772231884
84,Zambia,26.959565632913858,32.14560569297317,59.99769908557673,26.385477815869102,68.86054165499984,18.60513697668175,121,36.54071071123212
77,Nigeria,41.07815757945048,40.01501683808818,65.39698953087961,7.20283711148961,57.38893408624649,7.115496459077514,98,36.088382315474234
132,Cameroon,36.504661722434044,29.844189500870083,56.12766597399512,16.67764952016779,63.55211008648807,10.240382684903564,105,33.9946610067729
121,Ethiopia,26.38650530938748,17.630247889946073,54.11775248335275,37.49203369368238,59.54645412963202,27.943296617880208,127,33.62975748429609
100,Swaziland,27.645252299341323,45.87394627590095,68.38848782312924,5.170910663710065,44.08038977015931,23.205419253019024,124,33.624827065084816
93,Mozambique,32.47070196589939,10.333701431087027,61.56799643461633,17.524340472783173,73.94405463534476,32.41262387383051,115,33.604218077793014
167,Gambia,38.44407839377471,17.892806205331777,47.899174384476915,24.40682990967993,57.01217174135932,28.49460606017772,106,32.76234770382643
123,Mauritania,25.73776730677244,33.17365177108284,71.25998622038179,30.735546433684657,19.387810524595523,26.835179729943793,127,32.24607805922216
160,Somalia,50.65041833933846,0.0,23.104822689021738,7.530875072766053,84.10673461355661,63.7318954910864,76,32.20776732338795
140,Uganda,21.832412537642682,18.59747893326081,69.73892501872878,25.55384399830838,61.16366479861804,12.30265659074205,134,31.426609745673513
150,Ivory Coast,30.681555184597915,32.27597603209881,50.477251599901976,6.976038486345848,61.929704895743065,24.35730990855012,113,31.276938611248937
145,Tanzania,6.50398900975352,25.307963379394653,59.99406450334811,35.308099191524484,62.27708115769478,24.660026128335105,149,30.714284335279963
137,Mali,26.28980894724441,20.844969031015996,69.53516662849478,15.342955849213674,49.67846411792292,17.421060116131954,125,29.72198033054464
151,Burkina Faso,24.428329760859928,18.349951595641762,59.7044964658905,22.30634568177082,47.39342880105105,24.954270703994833,127,28.744676219205363
117,Sudan,23.524592781510428,34.64312917297737,73.67533871783084,28.01509856766873,0.8590435327916648,21.120625920533065,130,28.13745488947395
96,Lesotho,16.092959037020062,26.413412405674137,73.72199281762903,3.2030739579969785,55.51894690565034,17.223578617878026,135,27.431586996034913
143,Niger,26.158184556093182,7.401013070018242,50.25491299308893,23.08770546986055,59.776836181043905,27.861137896442433,124,27.34045137344377
114,Zimbabwe,13.127182286624095,21.324390544929276,66.14016957615469,24.67661155918966,48.04479054981186,17.386005353999746,139,27.264715361439286
135,Yemen,9.366708687834784,25.956966106113928,62.2147352021003,32.24499256878865,34.256293878634715,14.613092976477567,146,25.622079147512007
149,Guinea,21.936869385111233,17.834725244997067,42.600330227888556,21.18392080389428,51.70389668915901,21.760441690894396,130,24.860313004294255
154,Benin,23.763099703621506,22.58730716127293,20.746806095521233,23.381716663853677,61.54399533901691,18.998497083340997,125,24.24194253553611
139,Comoros,20.146343955184786,19.404477523580287,44.58596062769814,34.03373294591435,24.00654782229843,26.835512162097526,137,23.84031863915908
119,Congo (Kinshasa),25.760082883278123,3.5767020204034035,70.23897345158898,18.105372769088476,36.2946411316918,12.734190537767073,127,23.29680688299412
115,Liberia,19.277243831631164,6.950811593579089,53.47858343854595,27.114134117066722,51.334080781603,9.00899060054278,135,23.170542072401048
122,Sierra Leone,26.367747819377147,17.262815699702372,52.504168027990175,3.9051359291511702,51.05304027880167,12.32845176533019,123,22.93009825865486
155,Syria,2.02880517792291,40.093604420620224,24.46586614617644,53.178635791226235,8.446884418808247,32.40418268159657,153,22.283141937700428
146,Madagascar,15.143245534994337,15.075916189721584,50.9923667547554,39.43491143155563,24.344510380851393,13.590195814973516,142,22.22724279879221
136,Angola,15.159901369291765,45.786752482624024,64.50131206369932,9.475785634342778,0.0,14.301835757250775,140,22.01044523665464
130,Malawi,13.372318307170913,8.218253990820102,28.185200172700988,30.300182498871486,68.15639960962899,18.76289187812861,141,21.753531757458894
157,Togo,11.633082670630548,15.168733104655155,23.610981906202923,24.65243116108904,49.34752315629329,20.935611421083735,145,18.08359508824249
118,Haiti,13.730642488090494,17.96717847620907,38.304127356082304,28.86469427422391,15.134142907033734,26.951087570008248,140,18.009619394313454
148,Chad,20.621933483604497,20.21467501346749,50.19205725529782,4.36286468271856,25.90503182254456,13.201208959597038,135,17.678826731934365
163,South Sudan,2.755482171933232,19.58554928179644,25.38033482961471,14.469655605619938,16.13843894856194,24.401290747427673,148,9.81381337549439
156,Burundi,1.7050841420938476,2.5580592637610575,27.688146973882183,17.719765628288965,19.74508510235046,27.769046761364685,150,7.456085563886663
152,Afghanistan,0.7627018082251756,20.123756153681192,23.61826590825546,19.991576107144194,8.840915614920796,8.443601889355232,150,7.155092286388497
147,Central African Republic,0.0,1.9449784240070533,0.0,0.0,44.99257183496185,9.481641933330259,152,0.0
