,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Year
41,El Salvador,Latin America and Caribbean,67.81349877796579,40.86775835729279,62.35218978102189,59.36634531113059,2015
42,Guatemala,Latin America and Caribbean,67.68189509306262,39.85159689239608,63.47688564476886,56.463628396143726,2015
43,Uzbekistan,Central and Eastern Europe,65.42583192329387,33.80647853020935,81.53467153284673,52.38562664329536,2015
44,Slovakia,Central and Eastern Europe,65.27542771197594,62.48297201117418,77.25,69.15162138475023,2015
45,Japan,Eastern Asia,65.12502350065803,67.92619778552626,76.46715328467154,86.863277826468,2015
46,South Korea,Eastern Asia,65.06862192141381,66.52944349421898,58.25669099756692,84.6082383873795,2015
47,Ecuador,Latin America and Caribbean,64.89941718368114,46.18536711730991,60.768248175182485,69.30324276950043,2015
48,Bahrain,Middle East and Northern Africa,64.61740928746006,70.7603314451172,73.98053527980537,65.4829097283085,2015
49,Italy,Western Europe,64.3918029704832,66.87849843192417,72.85705596107056,83.65118317265556,2015
50,Bolivia,Latin America and Caribbean,63.30137243842828,36.419846968862714,59.513990267639905,47.256792287467135,2015
51,Moldova,Central and Eastern Europe,63.28257191201355,31.777362843335105,61.756690997566906,54.185801928133216,2015
52,Paraguay,Latin America and Caribbean,63.075766121451416,40.61705886910944,79.36557177615572,57.92988606485538,2015
53,Kazakhstan,Central and Eastern Europe,62.643354013912415,60.00430777512682,68.27311435523114,56.41367221735321,2015
54,Slovenia,Central and Eastern Europe,62.51175032900922,63.3419785730306,77.48479318734793,76.54425942156003,2015
55,Lithuania,Central and Eastern Europe,62.22974243278813,61.32408823637352,76.48722627737227,64.09114811568799,2015
56,Nicaragua,Latin America and Caribbean,62.13573980071443,31.711614363491712,69.45498783454987,65.13058720420683,2015
57,Peru,Latin America and Caribbean,62.06053769505546,48.11880005709499,59.281630170316305,63.99386503067485,2015
58,Belarus,Central and Eastern Europe,61.85373190449332,55.160301886176754,74.9933090024331,64.51183172655564,2015
59,Poland,Central and Eastern Europe,61.44012032336907,60.165204461572856,77.82725060827251,68.2760736196319,2015
60,Malaysia,Southeastern Asia,61.04530926865952,60.12832116800217,65.0991484184915,63.447852760736204,2015
61,Croatia,Central and Eastern Europe,60.83850347809741,57.86614582900012,48.4330900243309,69.06660823838739,2015
62,Libya,Middle East and Northern Africa,60.74450084602368,60.48058334862654,68.04257907542579,61.682734443470636,2015
